ID	Text	Lat	Long	Location	Dialect	Genre	YoC	YoM	AuthName	AuthBD	AuthSex	AuthAge	RecName	RecBD	RecSex	RecAge	RecRelation	Words	OCWords	NamWords	ForWords	Types	OCTypes	NamTypes	ForTypes	Chars	OCChars	NamChars	ForChars	Tokens	Verb	Clause	PP	Nom	Dat	Acc	NomVerb	DatVerb	AccVerb	NomDat	NomAcc	DatAcc	Pas	NomCP	DatCP	AccCP	NomSize	DatSize	AccSize	Adj
coboeth.o2,Bo:32.72.2.1337	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	SUB	NoIO	NomIndefinite	DatNull	AccNull	NomV	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	1	NA	NA	NA
coboeth.o2,Bo:32.72.2.1337	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomNull	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NONom	NODat	NOAcc	NA	NA	NA	NA
coboeth.o2,Bo:32.72.2.1337	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomIndefinite	DatDefinite	AccPronoun	NA	NA	NA	NomDat	NomAcc	AccDat	ACT	NomNoCP	DatNoCP	AccNoCP	1	3	1	NA
coboeth.o2,Bo:32.72.2.1337	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomNull	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NONom	NODat	NOAcc	NA	NA	NA	NA
coboeth.o2,Bo:32.73.13.1356	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	NoIO	NomPronoun	DatNull	AccIndefinite	NomV	NA	VAcc	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccHasCP	1	NA	7	NA
coboeth.o2,Bo:32.73.13.1356	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomPronoun	DatNull	AccWHIndefinite	NomV	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	AccNoCP	1	NA	NA	NA
coboeth.o2,Bo:32.73.13.1356	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomPronoun	DatNull	AccCP	NomV	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	1	NA	NA	NA
coboeth.o2,Bo:32.73.13.1356	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomIndefinite	DatDefinite	AccNull	NomV	VDat	NA	NomDat	NA	NA	ACT	NomHasCP	DatNoCP	NOAcc	5	2	NA	Adjacent
coboeth.o2,Bo:32.73.13.1356	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomNull	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NONom	NODat	NOAcc	NA	NA	NA	NA
coboeth.o2,Bo:32.73.13.1356	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomPronoun	DatPronoun	AccWHIndefinite	NomV	DatV	NA	NomDat	NA	NA	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	NA	PreverbAdjacent
